_MeanReward,Steps,_Episode,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-118.72078,306,5,-0.4805477049130426,-0.5088562935863912,-0.39576029119747,0.0007518390427611669,-3.483052626275001e-17,-2.8159867555985096,1.7895780371137116,0.9999878136557367,0.0685791357282134,-1.0334125733323534,1.237068451571763,0.05873570100922696,0.058690652,-4.2020507,5.316483,2.5375142,0.3124656,7.6769137,0.00085180334,0.6666666666666666,1.0,0.016467510010875375,-15.398870581330232,-16.780360080131736
-124.71458,523,10,-0.44936444442880835,-0.511171215208107,-0.3339109556255474,0.0019233506657219367,-6.792951584704591e-17,-2.6713463786260707,2.0036173771950527,0.9999896862603251,0.003278082256770198,-0.7401646500447123,1.0166804497315316,0.047896783815070954,-0.025481438,-5.7000036,5.0815167,2.6411462,0.30632713,7.693523,0.0014180298,0.4444444444444444,1.0,0.0029194531659293456,-0.11617564179985007,-30.63271359924787
-135.36794,918,15,-0.3805582870517294,-0.5051754133939256,-0.20640671227259563,0.006871274975744789,-4.644070168366668e-17,-2.7219651845673396,2.9733349779260334,0.9999568802898446,-0.00570628192554823,-0.9906167824753489,1.079418714525045,0.043523599165568826,-0.014603648,-6.8439884,5.7672305,2.8537107,0.31186676,7.7081823,0.0009088051,0.2962962962962963,1.0,0.0034116073566845505,0.5527535064751368,0.1800882009890874
-116.37813,403,20,-0.4420188218779343,-0.5001912945860998,-0.3591936447575945,0.001993073503739773,3.5262666787101746e-17,-3.006072957327652,2.629883438550094,0.9999321802344687,0.004342419535281162,-1.2603351316426936,1.1355860641711593,0.05041582147299744,-0.04829001,-5.0385613,5.422961,2.782041,0.30752397,7.6895504,0.0016443315,0.19753086419753085,1.0,0.0011454956595120618,0.5195964652959693,0.39725049173237204
-134.09488,744,25,-0.38746274160494126,-0.5106482908629316,-0.22671268518073293,0.010284356181929879,-3.820122235269356e-17,-2.743096407188404,2.5548839986856637,0.9999563829073232,-0.00352115344847884,-0.9175985661202001,1.0459872891774562,0.044321838543813386,-0.064346515,-5.870258,5.3476806,2.6723835,0.3147452,7.6936803,0.0021716913,0.1316872427983539,1.0,0.0033792521137871903,0.6720329542195251,0.32249928157506325
-137.23958,889,30,-0.3643449948472387,-0.5103580721337259,-0.21897790627897734,0.010323491526531257,3.197042680585378e-17,-3.200261928478813,2.5026727368439694,0.9999694784230084,-0.009325439902254266,-0.7760848769808171,1.1293995736139713,0.041497341417476935,-0.03225649,-5.6521444,5.562233,2.5729117,0.29934344,7.7087407,0.0017455169,0.0877914951989026,1.0,0.00487281544846026,0.5836523064143206,0.24755241533604988
-134.18112,971,35,-0.3247984780242685,-0.5059280461836462,-0.1336701219118142,0.013877657610312025,2.9270555541095784e-17,-3.842876686138238,2.825940704756912,0.9999660588334324,0.000528038140227036,-1.0323500995780088,1.172267418440824,0.04274039533092737,-0.018869018,-5.9982963,5.554063,2.7679992,0.2824394,7.727424,0.0063868766,0.0877914951989026,1.0,0.007339700078812045,0.5017778956479512,0.13565486784560288
-142.54985,1347,40,-0.30194389070078315,-0.5124949248481296,-0.1039935630823252,0.015102382992388778,-8.440002800416928e-17,-5.068156893458076,2.2648798351505404,0.9999697315754513,-0.015259749391350986,-1.0690124032211419,1.0253758170048815,0.03456815116762163,-0.028437024,-7.239071,5.7145967,2.8774862,0.27735522,7.720086,0.0028148792,0.05852766346593507,1.0,0.008183072395649957,0.46205005672667254,-0.24384553716857682
-143.85349,1257,45,-0.32031856500206013,-0.5163371530142786,-0.15029033750156495,0.013127783606181926,0.0,-4.022261452984869,2.8809445307035397,0.9999718157917704,-0.012152835150437765,-1.1044429599019878,1.2634607587198063,0.03907042436621425,-0.024955153,-5.760095,5.729923,2.8103232,0.2846918,7.69943,0.002748637,0.03901844231062338,1.0,0.008930434352993557,0.3198176217041667,0.054427483936514975
-133.02266,817,50,-0.39107545866086113,-0.5021963108688289,-0.25435284685457754,0.0057681381584074945,1.7393947019831092e-17,-3.3739606339347703,2.5657180830333997,0.9999621591614591,0.007462701778418792,-1.2490519464070422,1.285366566949987,0.04860703610142918,0.040510226,-7.8929214,5.8479548,2.8461432,0.2793291,7.658082,0.014012156,0.03901844231062338,1.0,0.004378057270215778,0.4931108356104241,0.31443075846688406
